     timestamp      | duration | description
2025-09-01 16:51:50 |  20.06s   | ❌Timeout error fetching webpage: HTTPSConnectionPool(host='www.dhakacollege.edu.bd', port=443): Max retries exceeded with url: /en/notice (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f29e7604160>, 'Connection to www.dhakacollege.edu.bd timed out. (connect timeout=10)'))
2025-09-01 17:10:36 |  1.59s   | 🎈No new notices found
2025-09-01 17:26:44 |  1.63s   | 🎈No new notices found
2025-09-01 17:39:40 |  1.68s   | 🎈No new notices found
2025-09-01 17:50:29 |  1.56s   | 🎈No new notices found
2025-09-01 18:18:37 |  1.90s   | 🎈No new notices found
2025-09-01 19:01:58 |  1.36s   | 🎈No new notices found
2025-09-01 19:35:50 |  20.11s   | ❌Timeout error fetching webpage: HTTPSConnectionPool(host='www.dhakacollege.edu.bd', port=443): Max retries exceeded with url: /en/notice (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f852d3d4100>, 'Connection to www.dhakacollege.edu.bd timed out. (connect timeout=10)'))
2025-09-01 19:49:22 |  1.15s   | 🎈No new notices found
2025-09-01 19:59:49 |  1.52s   | 🎈No new notices found
2025-09-01 20:26:43 |  2.04s   | 🎈No new notices found
2025-09-01 20:43:36 |  1.78s   | 🎈No new notices found
2025-09-01 20:54:32 |  1.18s   | 🎈No new notices found
2025-09-01 21:18:01 |  1.43s   | 🎈No new notices found
2025-09-01 21:34:39 |  3.02s   | 🎈No new notices found
2025-09-01 21:45:15 |  1.38s   | 🎈No new notices found
2025-09-01 21:55:53 |  2.89s   | 🎈No new notices found
2025-09-01 22:25:47 |  1.76s   | 🎈No new notices found
2025-09-01 22:45:08 |  1.41s   | 🎈No new notices found
2025-09-01 22:56:08 |  2.87s   | 🎈No new notices found
2025-09-01 23:17:29 |  1.17s   | 🎈No new notices found
2025-09-01 23:31:27 |  1.60s   | 🎈No new notices found
2025-09-01 23:42:32 |  2.06s   | 🎈No new notices found
2025-09-01 23:53:25 |  1.79s   | 🎈No new notices found
2025-09-02 00:21:00 |  2.80s   | 🎈No new notices found
2025-09-02 00:43:24 |  4.29s   | 🎈No new notices found
2025-09-02 00:54:30 |  1.83s   | 🎈No new notices found
2025-09-02 01:13:45 |  2.90s   | 🎈No new notices found
2025-09-02 01:25:53 |  1.37s   | 🎈No new notices found
2025-09-02 01:38:29 |  1.41s   | 🎈No new notices found
2025-09-02 01:49:32 |  2.79s   | 🎈No new notices found
2025-09-02 02:00:33 |  2.97s   | 🎈No new notices found
2025-09-02 02:27:01 |  2.05s   | 🎈No new notices found
2025-09-02 02:41:07 |  1.74s   | 🎈No new notices found
2025-09-02 02:52:06 |  2.99s   | 🎈No new notices found
2025-09-02 03:10:42 |  2.89s   | 🎈No new notices found
2025-09-02 03:27:08 |  1.43s   | 🎈No new notices found
2025-09-02 03:39:23 |  2.91s   | 🎈No new notices found
2025-09-02 03:50:12 |  1.58s   | 🎈No new notices found
2025-09-02 04:07:57 |  1.82s   | 🎈No new notices found
2025-09-02 04:30:16 |  2.90s   | 🎈No new notices found
2025-09-02 04:42:49 |  2.85s   | 🎈No new notices found
2025-09-02 04:53:46 |  4.84s   | 🎈No new notices found
2025-09-02 05:14:52 |  1.86s   | 🎈No new notices found
2025-09-02 05:29:57 |  1.47s   | 🎈No new notices found
2025-09-02 05:41:26 |  3.07s   | 🎈No new notices found
2025-09-02 05:52:27 |  1.81s   | 🎈No new notices found
2025-09-02 07:03:48 |  1.82s   | 🎈No new notices found
2025-09-02 08:43:06 |  0.99s   | 🎈No new notices found
2025-09-02 09:30:16 |  2.95s   | 🎈No new notices found
2025-09-02 09:53:51 |  1.97s   | 🎈No new notices found
2025-09-02 10:20:08 |  2.84s   | 🎈No new notices found
2025-09-02 10:40:53 |  1.20s   | 🎈No new notices found
2025-09-02 10:53:08 |  1.26s   | 🎈No new notices found
2025-09-02 11:15:26 |  1.78s   | 🎈No new notices found
2025-09-02 11:35:55 |  1.82s   | 🎈No new notices found
2025-09-02 11:47:47 |  1.14s   | 🎈No new notices found
2025-09-02 11:58:36 |  0.88s   | 🎈No new notices found
2025-09-02 12:39:14 |  1.40s   | 🎈No new notices found
2025-09-02 12:55:50 |  1.49s   | 🎈No new notices found
2025-09-02 13:20:51 |  1.85s   | 🎈No new notices found
2025-09-02 13:36:14 |  0.83s   | 🎈No new notices found
2025-09-02 13:47:10 |  1.01s   | 🎈No new notices found
2025-09-02 13:58:04 |  1.83s   | 🎈No new notices found
2025-09-02 14:34:17 |  2.05s   | 🎈No new notices found
2025-09-02 14:52:17 |  1.64s   | 🎈No new notices found
2025-09-02 15:14:28 |  1.54s   | 🎈No new notices found
2025-09-02 15:33:41 |  2.15s   | 🎈No new notices found
2025-09-02 15:45:57 |  2.73s   | 🎈No new notices found
2025-09-02 15:56:37 |  2.73s   | 🎈No new notices found
2025-09-02 16:24:43 |  1.53s   | 🎈No new notices found
2025-09-02 16:42:54 |  1.18s   | 🎈No new notices found
2025-09-02 16:53:49 |  1.47s   | 🎈No new notices found
2025-09-02 17:13:42 |  1.30s   | 🎈No new notices found
2025-09-02 17:28:17 |  1.80s   | 🎈No new notices found
2025-09-02 17:40:56 |  1.31s   | 🎈No new notices found
